2024-11-27 14:43:20 - FewShotSeg - INFO - Epoch: 1, Iteration: 32, Training Loss: 0.0065, Mean IoU: 0.9526, Mean Accuracy: 0.9794, per Category IOU: [0.99970771 0.90541633]
2024-11-27 14:43:20 - FewShotSeg - INFO - Epoch: 1, Iteration: 33, Training Loss: 0.0079, Mean IoU: 0.9385, Mean Accuracy: 0.9688, per Category IOU: [0.99956267 0.87745098]
2024-11-27 14:43:20 - FewShotSeg - INFO - Epoch: 1, Iteration: 34, Training Loss: 0.0054, Mean IoU: 0.9561, Mean Accuracy: 0.9831, per Category IOU: [0.99964745 0.91247672]
2024-11-27 14:43:21 - FewShotSeg - INFO - Epoch: 1, Iteration: 35, Training Loss: 0.0056, Mean IoU: 0.9451, Mean Accuracy: 0.9751, per Category IOU: [0.99965274 0.89063729]
2024-11-27 14:43:21 - FewShotSeg - INFO - Epoch: 1, Iteration: 36, Training Loss: 0.0055, Mean IoU: 0.9554, Mean Accuracy: 0.9882, per Category IOU: [0.99965249 0.91112532]
2024-11-27 14:43:21 - FewShotSeg - INFO - Epoch: 1, Iteration: 37, Training Loss: 0.0041, Mean IoU: 0.9465, Mean Accuracy: 0.9870, per Category IOU: [0.99961511 0.89342561]
2024-11-27 14:43:21 - FewShotSeg - INFO - Epoch: 1, Iteration: 38, Training Loss: 0.0101, Mean IoU: 0.9370, Mean Accuracy: 0.9599, per Category IOU: [0.99949249 0.87445887]
2024-11-27 14:43:22 - FewShotSeg - INFO - Epoch: 1, Iteration: 39, Training Loss: 0.0049, Mean IoU: 0.9457, Mean Accuracy: 0.9830, per Category IOU: [0.99961764 0.89179632]
2024-11-27 14:45:22 - FewShotSeg - INFO - Epoch : 1, Validation Results - Loss: 0.0071, Mean IoU: 0.9743, Mean Accuracy: 0.9858, per Category IOU: [0.99964865        nan]
2024-11-27 14:45:23 - FewShotSeg - INFO - Model saved!
2024-11-27 14:45:23 - FewShotSeg - INFO - Epoch: 2
2024-11-27 14:45:23 - FewShotSeg - INFO - Epoch: 2, Iteration: 0, Training Loss: 0.0081, Mean IoU: 0.9217, Mean Accuracy: 0.9612, per Category IOU: [0.99954298 0.84385666]
